x	y	Edep
-0.0104387	-0.00755127	0.0053
0.0102893	-0.0143713	0.0053
-0.000792577	0.0186785	0.0053
0.00364536	0.0051687	0.0053
0.00884783	-0.00125301	0.0053
0.00296589	0.00510306	0.0053
-0.0128338	0.00728423	0.0053
0.00598507	0.00986061	0.0053
-0.00559714	-0.00102844	0.0053
-0.0167584	-0.00324975	0.0053
-0.00150565	0.00630186	0.0053
-0.0122747	0.0110227	0.0053
0.00052933	-0.00780367	0.0053
-0.00104076	-0.0188635	0.0053
0.000961506	-0.00899967	0.0053
-0.0101456	0.0141239	0.0053
0.011237	-0.000636668	0.0053
0.00296584	0.0120689	0.0053
0.0122708	0.0110228	0.0053
0.00039436	0.0109653	0.0053
0.0069095	-0.0134725	0.0053
0.0177796	-0.00978974	0.0053
0.00798748	0.0121355	0.0053
0.0154197	0.00987159	0.0053
0.00629963	-0.00539862	0.0053
-0.00731746	-0.0130482	0.0053
0.0134551	-0.0118315	0.0053
-0.00735578	0.00291268	0.0053
-0.00647077	0.00420941	0.0053
-0.00353176	-0.00806506	0.0053
-0.0063848	0.0127531	0.0053
0.00902775	-0.0142305	0.0053
0.00512831	0.0181103	0.0053
-0.00450909	-0.00685283	0.0053
-0.00791093	-0.0038925	0.0053
0.0126762	-0.0131388	0.0053
-0.00894868	0.00752265	0.0053
0.0241716	0.00612277	0.0053
0.00385542	-0.0222881	0.0053
-0.00858829	-0.00492242	0.0053
-0.00246913	-0.00639367	0.0053
0.0061484	0.0169196	0.0053
-0.00511664	-0.00317626	0.0053
0.0154709	0.00106782	0.0053
0.00264421	-0.013618	0.0053
-0.00501352	-0.0158204	0.0053
-0.000964497	-0.013073	0.0053
-0.0242834	-0.00196606	0.0053
-0.0110311	0.0177344	0.0053
-0.00872593	-0.0113501	0.0053
0.0149656	0.0080043	0.0053
0.0102668	-0.0100791	0.0053
-0.0196645	0.018002	0.0053
0.0098185	0.0073449	0.0053
-0.000962944	-0.0111023	0.0053
-0.0170561	-0.0110372	0.0053
0.00414456	-0.0128955	0.0053
-3.03E-05	-0.00726099	0.0053
0.000258122	0.00551944	0.0053
0.00277888	-0.0059615	0.0053
0.000798967	0.00658297	0.0053
-0.00919557	-0.00141696	0.0053
0.0040795	0.0113002	0.0053
-0.00508887	-0.0217674	0.0053
-0.0132522	0.00674729	0.0053
-0.00835827	0.00234178	0.0053
0.00353563	0.0242584	0.0053
0.00533479	0.00747989	0.0053
-0.00573037	-0.0086766	0.0053
-0.0112577	0.00721109	0.0053
-0.00971775	-0.000297331	0.0053
0.00378553	-0.0135792	0.0053
0.00171956	-0.0223797	0.0053
-0.018534	0.00195011	0.0053
0.00446753	0.0151175	0.0053
-0.00865718	0.00189149	0.0053
-0.00759515	-0.0290727	0.0053
0.0177558	0.00949198	0.0053
-0.0121959	0.0108842	0.0053
-0.0020205	-0.0126378	0.0053
-0.0175311	0.0100343	0.0053
0.00155379	0.00754733	0.0053
0.0189043	-0.0122224	0.0053
-0.00762561	-0.00986503	0.0053
-0.0483849	-0.0417842	0.0053
-0.00950725	0.00167479	0.0053
-0.00576031	-0.00319715	0.0053
-0.00519787	-0.00778118	0.0053
0.018272	0.0012092	0.0053
0.00574154	0.00475342	0.0053
0.0102073	0.00506643	0.0053
-0.00753776	0.00202861	0.0053
-0.0110561	0.00352973	0.0053
0.000336837	-0.0106524	0.0053
-0.00200995	-0.00803778	0.0053
-0.000231177	-0.00614668	0.0053
-0.0170096	0.0281009	0.0053
0.0156771	-0.00123102	0.0053
-0.00530512	0.0153219	0.0053
0.00600724	-0.00526346	0.0053
-0.0145396	0.0134506	0.0053
0.00191293	0.0117482	0.0053
0.0123331	0.0114021	0.0053
-0.00985161	0.0103424	0.0053
0.0088344	0.00339501	0.0053
0.00599088	0.00575346	0.0053
0.00743476	-0.00930654	0.0053
0.00182539	0.0201991	0.0053
-0.0102502	-0.0070071	0.0053
0.0145179	-0.00409629	0.0053
-0.000667927	-0.0113545	0.0053
-0.0100466	0.000948917	0.0053
-0.0142609	-1.34E-05	0.0053
-0.000210273	0.0244816	0.0053
0.010347	0.00258836	0.0053
-0.000693153	0.0154016	0.0053
-0.00721126	0.00523266	0.0053
-0.00825605	0.00649569	0.0053
-0.00250487	-0.00785091	0.0053
-0.000393695	-0.0122467	0.0053
-0.0142941	-0.00495953	0.0053
0.0107087	-0.0206515	0.0053
0.00794468	-0.0083853	0.0053
0.00612254	-0.00442548	0.0053
0.00986435	-0.00527713	0.0053
-0.0119435	-0.000166332	0.0053
0.0104873	-0.00549629	0.0053
-0.00790981	-0.00500556	0.0053
0.0138843	-0.0022877	0.0053
0.00269234	-0.0184335	0.0053
0.00178513	0.00718082	0.0053
0.00869163	0.000737871	0.0053
-0.0136878	-0.0130278	0.0053
-0.0160032	0.0080215	0.0053
-0.016608	-0.0113747	0.0053
-0.00312682	-0.00780251	0.0053
-0.00607588	0.00276277	0.0053
0.0122576	0.0022583	0.0053
0.00660816	-0.00364515	0.0053
-0.0147663	0.00548737	0.0053
-0.0168527	0.0077222	0.0053
-0.0174884	-0.0130128	0.0053
-0.00518983	0.00852999	0.0053
0.00450419	-0.00666782	0.0053
-0.000766822	-0.00759477	0.0053
0.0022346	-0.0113238	0.0053
-0.0062635	0.00668613	0.0053
0.00325877	0.0174034	0.0053
0.0031989	-0.0171187	0.0053
0.00540906	-0.0069358	0.0053
-0.0180243	0.0108198	0.0053
0.00756595	-0.00319572	0.0053
-0.0113402	-0.0141732	0.0053
0.0119258	0.0129572	0.0053
0.00702621	-0.00412969	0.0053
0.00163744	-0.0119385	0.0053
0.0142561	0.00214972	0.0053
-0.0145366	-0.00794466	0.0053
-0.00690337	0.00193079	0.0053
-0.00042697	-0.0236335	0.0053
0.00715854	0.00369147	0.0053
0.00383024	-0.0125151	0.0053
-0.0240665	0.000392699	0.0053
0.0116959	0.00775142	0.0053
-0.00114953	-0.0191919	0.0053
-0.010015	-0.0043742	0.0053
-0.00282225	-0.00902096	0.0053
0.00320573	-0.016223	0.0053
-0.0103097	0.00243966	0.0053
-0.00513568	-0.0111312	0.0053
-0.0123766	0.00547253	0.0053
0.0127802	0.00209848	0.0053
-0.00534797	0.00433795	0.0053
-0.0127433	-0.00819556	0.0053
-0.00903877	-0.00534362	0.0053
0.0203867	-0.00518832	0.0053
0.00703119	-0.00636912	0.0053
-0.0260267	-0.00729217	0.0053
0.0174323	0.00636247	0.0053
0.0145077	0.00497366	0.0053
-0.000619006	0.0135372	0.0053
0.00171002	-0.015851	0.0053
-0.000292913	0.0106836	0.0053
0.00796539	0.00426843	0.0053
-0.00537605	-0.000550218	0.0053
-0.0118649	0.0137498	0.0053
0.00868749	-0.0138125	0.0053
0.0139087	3.46E-05	0.0053
-0.0103304	-0.0233547	0.0053
-0.0136609	-0.00512431	0.0053
0.00141377	-0.0232576	0.0053
-0.00492413	0.0105364	0.0053
0.00394104	-0.0139009	0.0053
0.00703973	0.00331224	0.0053
-0.0143597	0.00498104	0.0053
-0.00588426	-0.00224618	0.0053
-0.000868638	-0.00570768	0.0053
-0.00778417	0.00157047	0.0053
0.00744857	-0.0104373	0.0053
-0.000730525	-0.0149132	0.0053
-0.00588364	-0.000480573	0.0053
0.0159163	0.00882267	0.0053
0.00972126	-0.00395696	0.0053
0.00226716	-0.00654585	0.0053
-0.0104227	0.00593244	0.0053
-0.008372	0.00151055	0.0053
-0.0106713	0.00518007	0.0053
-0.0168653	-0.0054303	0.0053
-0.00606583	-0.00275661	0.0053
0.00723984	-0.00236597	0.0053
0.00876981	0.00986124	0.0053
-0.00182717	-0.0130609	0.0053
0.00267972	-0.00919384	0.0053
0.0220324	-0.00547423	0.0053
-0.0119591	-0.00944403	0.0053
