x	y	Edep
-0.00499206	0.00591366	0.00528244
0.00727248	-0.000924479	0.00528244
0.00217953	-0.0103353	0.00528244
-0.00614127	-4.12E-05	0.00528244
0.00818091	-0.0156729	0.00528244
0.0144942	0.00111114	0.00528244
-0.0054555	0.00827889	0.00528244
0.00142936	0.0112146	0.00528244
0.00742863	-0.00683475	0.00528244
-0.00695679	0.00244112	0.00528244
0.0160633	-0.0013313	0.00528244
0.0140853	0.0186991	0.00528244
-0.0211138	0.0124872	0.00528244
-0.00897132	0.0171411	0.00528244
0.00502152	0.0145607	0.00528244
0.00958851	-0.000539856	0.00528244
-0.013889	-0.0180089	0.00528244
-0.0114786	-0.00168279	0.00528244
-0.000516509	0.0101715	0.00528244
-0.00676751	-0.00996764	0.00528244
-0.0132646	0.00963585	0.00528244
0.0238627	-0.000173255	0.00528244
0.00552793	-0.00732322	0.00528244
-0.00610504	0.0004974	0.00528244
-0.00723591	-0.00738344	0.00528244
-0.0227309	0.00693942	0.00528244
-0.00360293	-0.0144162	0.00528244
-0.00893126	-0.000818035	0.00528244
-0.0161005	0.0182251	0.00528244
-0.000483517	-0.0174497	0.00528244
0.00254015	-0.0069363	0.00528244
0.00236528	-0.00810462	0.00528204
0.00413094	0.0164041	0.00528204
-0.0034161	0.0132464	0.00528204
0.0171698	0.00090355	0.00528204
-0.000346534	-0.0266584	0.00528204
0.00373112	-0.00286055	0.00528204
-0.0152379	0.00364758	0.00528204
0.0087821	-0.00835176	0.00528204
-0.0248363	-0.0138805	0.00528204
0.00993944	0.00334395	0.00528204
-0.00202837	-0.0091703	0.00528204
-0.0061491	-0.0035062	0.00528204
0.00460433	-0.0196313	0.00528204
-0.005816	-0.00475469	0.00528204
0.0132149	0.00834319	0.00528204
0.00707539	-0.0103028	0.00528204
-0.0164319	-0.00736987	0.00528204
-0.00125214	0.00812419	0.00528204
-0.000682083	-0.00549217	0.00528204
-0.00415923	0.00947223	0.00528204
0.0100124	-0.0110711	0.00528204
-0.0136215	-0.00661143	0.00528204
-0.0162038	0.0170737	0.00528204
0.00851382	-0.00748154	0.00528204
0.00908587	-0.0020574	0.00528204
-0.0102377	0.00159851	0.00528204
-0.00802606	0.0118409	0.00528204
-0.0132431	-0.00433249	0.00528204
0.0192779	0.0136588	0.00528204
0.0164805	-0.0035406	0.00528204
0.00165312	-0.0122996	0.00528204
-0.0053941	-0.0218782	0.00528204
0.00657061	0.00694611	0.00528204
-0.0101814	0.00716799	0.00528204
-0.00559799	0.0155604	0.00528204
0.000628652	-0.00557066	0.00528204
0.00583048	0.00790892	0.00528203
-0.0169106	0.0242616	0.00528203
-0.0066889	-0.0056736	0.00528203
-0.0169934	-0.00664538	0.00528203
0.0019016	0.0140129	0.00528203
0.00395402	-0.0107633	0.00528203
0.0101395	-0.000214895	0.00528203
0.0121252	0.00916061	0.00528203
0.00993007	-0.0181848	0.00528203
-0.0120375	-0.00662637	0.00528203
-0.00299658	-0.0183248	0.00528203
-0.0131263	-0.00161065	0.00528203
