x	y	Edep
0.0096595	-0.00390009	0.00529102
8.28E-05	-0.0200319	0.00528244
0.00460768	-0.00991031	0.00528244
-0.0087814	0.00100543	0.00528244
-0.00804064	0.00925076	0.00528244
0.0211398	0.0135591	0.00528244
-0.00565394	0.0109215	0.00528244
0.00380295	0.00723428	0.00528244
0.000958799	0.00808802	0.00528244
-0.00702038	-0.0105504	0.00528244
0.00967936	-0.00341606	0.00528244
-0.00786085	-0.00583902	0.00528244
-0.00940431	-0.00561336	0.00528244
-0.00649594	-0.00117348	0.00528204
-0.00346775	0.0158668	0.00528204
0.00235295	0.0099146	0.00528204
-0.00771711	-0.0206102	0.00528204
-0.00247137	-0.01125	0.00528204
-0.00162689	0.00516524	0.00528204
-0.0238482	0.0151728	0.00528204
-0.00262849	0.0252931	0.00528204
0.00993943	0.00435282	0.00528204
0.00573943	0.00417348	0.00528204
0.0101878	0.00821522	0.00528204
-0.0142776	-3.73E-05	0.00528204
0.0255826	-0.0109543	0.00528203
0.00862927	-0.00169565	0.00528203
0.0159553	0.0105754	0.00528203
0.0180276	0.00773549	0.00528203
0.0202543	-0.0042026	0.00528203
-0.00731942	-0.0103267	0.00528203
-0.00218497	0.010161	0.00528203
0.0074707	-0.00118377	0.00528203
0.011397	-0.00326335	0.00528203
-0.0142567	-0.00955444	0.00528203
0.00893543	-0.00445732	0.00528203
-0.0110462	-0.00770544	0.00528203
0.000449394	0.0165377	0.00528203
0.016217	-0.00243697	0.00528203
0.00193537	0.00794851	0.00528203
-0.00663507	0.0139867	0.00528203
0.0071174	-0.00649542	0.00528203
-0.00604002	0.00895099	0.00528203
0.0143224	0.00768031	0.00528203
-7.60E-05	0.0095768	0.00528203
-0.00478577	-0.014419	0.00528203
-0.0105087	-0.00313648	0.00528203
-0.00107559	0.0153918	0.00528203
-0.00623318	-0.00192344	0.00528203
0.00156341	-0.00541834	0.00528203
0.00771715	-0.00180983	0.00528203
0.00473112	0.0114077	0.00528203
-0.0133469	-0.0155294	0.00528203
-0.0135857	0.0220923	0.00528202
-0.00941749	-0.0059106	0.00528202
-0.0026165	0.00668079	0.00527346
-0.0152999	0.000713061	0.00527346
0.00933489	0.00583627	0.00527346
